A;B;DISTANCE;LINKTYPE;JURISDICTIO;CAPINDEX;TIME_SPDFLA;TIME_SPD;CAPACITY;VL01;VL02;VL03;VL04;VL05;VL06;VL07;VL08;VL09;VL10;VL11;VL12;VL13;VL14;VL15;VL16;VL17;VL18;FFTM;VL20
731;732;0,01;7;1;12;T;0,01;1270;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;60,00;0;0;0;0;0;0;0;0;0;0
81;733;0,12;16;1;22;T;0,27;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;26,67;0;0;0;0;0;0;0;0;0;0
734;733;0,01;8;1;13;T;0,03;600;414,75;32,19;43,37;87,36;32,01;0;609,68;490,31;1,02;20,00;0;0;0;0;0;0;0;0;0;0
82;734;0,12;8;1;13;T;0,32;600;414,75;32,19;43,37;87,36;32,01;0;609,68;490,31;1,02;22,50;0;0;0;0;0;0;0;0;0;0
291;735;0,01;8;1;13;T;0,01;1000;159,03;14,94;39,10;63,03;20,16;0;296,26;213,07;0,30;60,00;0;0;0;0;0;0;0;0;0;0
735;736;0,01;8;1;13;T;0,02;500;159,03;14,94;39,10;63,03;20,16;0;296,26;213,07;0,59;30,00;0;0;0;0;0;0;0;0;0;0
286;737;0,01;9;1;20;T;0,04;814;118,04;25,27;77,24;138,08;49,91;0;408,54;220,55;0,50;15,00;0;0;0;0;0;0;0;0;0;0
738;737;0,07;16;1;20;T;0,11;330;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;38,18;0;0;0;0;0;0;0;0;0;0
739;737;0,01;9;1;20;T;0,03;550;88,89;7,47;64,94;97,03;40,30;0;298,63;161,30;0,54;20,00;0;0;0;0;0;0;0;0;0;0
287;738;0,01;9;1;21;T;0,03;693;88,89;7,47;64,94;97,03;40,30;0;298,63;161,30;0,43;20,00;0;0;0;0;0;0;0;0;0;0
737;738;0,07;16;1;20;T;0,18;330;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;23,33;0;0;0;0;0;0;0;0;0;0
740;738;0,01;9;1;20;T;0,04;550;118,04;25,27;77,24;138,08;49,91;0;408,54;220,55;0,74;15,00;0;0;0;0;0;0;0;0;0;0
737;739;0,01;9;1;20;T;0,04;550;118,04;25,27;77,24;138,08;49,91;0;408,54;220,55;0,74;15,00;0;0;0;0;0;0;0;0;0;0
740;739;0,07;9;1;20;T;0,20;550;88,89;7,47;64,94;97,03;40,30;0;298,63;161,30;0,54;21,00;0;0;0;0;0;0;0;0;0;0
738;740;0,01;9;1;20;T;0,03;550;88,89;7,47;64,94;97,03;40,30;0;298,63;161,30;0,54;20,00;0;0;0;0;0;0;0;0;0;0
739;740;0,07;9;1;20;T;0,28;550;118,04;25,27;77,24;138,08;49,91;0;408,54;220,55;0,74;15,00;0;0;0;0;0;0;0;0;0;0
