A;B;DISTANCE;LINKTYPE;JURISDICTIO;CAPINDEX;TIME_SPDFLA;TIME_SPD;CAPACITY;VL01;VL02;VL03;VL04;VL05;VL06;VL07;VL08;VL09;VL10;VL11;VL12;VL13;VL14;VL15;VL16;VL17;VL18;FFTM;VL20
332;688;0,01;9;1;21;T;0,03;693;235,08;13,35;22,64;74,83;3,70;0;349,60;271,07;0,50;20,00;0;0;0;0;0;0;0;0;0;0
687;688;0,09;16;1;21;T;0,17;347;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;31,76;0;0;0;0;0;0;0;0;0;0
689;688;0,01;9;1;21;T;0,02;347;20,10;3,12;19,25;15,77;3,25;0;61,49;42,47;0,18;30,00;0;0;0;0;0;0;0;0;0;0
688;689;0,01;9;1;21;T;0,05;347;235,08;13,35;22,64;74,83;3,70;0;349,60;271,07;1,01;12,00;0;0;0;0;0;0;0;0;0;0
690;689;0,09;9;1;21;T;0,16;347;20,10;3,12;19,25;15,77;3,25;0;61,49;42,47;0,18;33,75;0;0;0;0;0;0;0;0;0;0
687;690;0,01;9;1;21;T;0,02;347;20,10;3,12;19,25;15,77;3,25;0;61,49;42,47;0,18;30,00;0;0;0;0;0;0;0;0;0;0
689;690;0,09;9;1;21;T;0,48;347;235,08;13,35;22,64;74,83;3,70;0;349,60;271,07;1,01;11,25;0;0;0;0;0;0;0;0;0;0
266;691;0,11;16;1;22;T;0,31;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;21,29;0;0;0;0;0;0;0;0;0;0
268;691;0,01;8;1;22;T;0,04;495;146,95;9,35;36,51;54,91;22,09;0;269,81;192,81;0,55;15,00;0;0;0;0;0;0;0;0;0;0
692;691;0,01;8;1;22;T;0,04;248;72,54;5,40;40,55;37,01;6,71;0;162,21;118,49;0,65;15,00;0;0;0;0;0;0;0;0;0;0
691;692;0,01;8;1;22;T;0,06;248;146,95;9,35;36,51;54,91;22,09;0;269,81;192,81;1,09;10,00;0;0;0;0;0;0;0;0;0;0
693;692;0,11;8;1;22;T;0,43;248;72,54;5,40;40,55;37,01;6,71;0;162,21;118,49;0,65;15,35;0;0;0;0;0;0;0;0;0;0
266;693;0,01;8;1;22;T;0,03;495;72,54;5,40;40,55;37,01;6,71;0;162,21;118,49;0,33;20,00;0;0;0;0;0;0;0;0;0;0
692;693;0,11;8;1;22;T;0,63;248;146,95;9,35;36,51;54,91;22,09;0;269,81;192,81;1,09;10,48;0;0;0;0;0;0;0;0;0;0
266;694;0,01;8;1;22;T;0,03;330;9,76;13,72;27,41;33,19;12,78;0;96,86;50,89;0,29;20,00;0;0;0;0;0;0;0;0;0;0
695;694;0,14;8;1;22;T;0,57;330;123,17;9,95;22,53;63,23;9,54;0;228,42;155,65;0,69;14,74;0;0;0;0;0;0;0;0;0;0
265;695;0,02;8;1;22;T;0,08;330;123,17;9,95;22,53;63,23;9,54;0;228,42;155,65;0,69;15,00;0;0;0;0;0;0;0;0;0;0
694;695;0,14;8;1;22;T;0,38;330;9,76;13,72;27,41;33,19;12,78;0;96,86;50,89;0,29;22,11;0;0;0;0;0;0;0;0;0;0
264;696;0,01;8;1;22;T;0,03;495;54,26;9,01;29,16;17,18;2,45;0;112,06;92,43;0,23;20,00;0;0;0;0;0;0;0;0;0;0
697;696;0,14;16;1;22;T;0,29;495;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;28,97;0;0;0;0;0;0;0;0;0;0
698;696;0,01;8;1;22;T;0,02;248;0,97;0,35;4,30;9,50;0,93;0;16,05;5,62;0,06;30,00;0;0;0;0;0;0;0;0;0;0
262;697;0,01;8;1;22;T;0,02;495;0,97;0,35;4,30;9,50;0,93;0;16,05;5,62;0,03;30,00;0;0;0;0;0;0;0;0;0;0
696;697;0,14;16;1;22;T;0,30;495;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;28,00;0;0;0;0;0;0;0;0;0;0
699;697;0,01;8;1;22;T;0,03;248;54,26;9,01;29,16;17,18;2,45;0;112,06;92,43;0,45;20,00;0;0;0;0;0;0;0;0;0;0
696;698;0,01;8;1;22;T;0,03;248;54,26;9,01;29,16;17,18;2,45;0;112,06;92,43;0,45;20,00;0;0;0;0;0;0;0;0;0;0
699;698;0,14;8;1;22;T;0,29;248;0,97;0,35;4,30;9,50;0,93;0;16,05;5,62;0,06;28,97;0;0;0;0;0;0;0;0;0;0
697;699;0,01;8;1;22;T;0,02;248;0,97;0,35;4,30;9,50;0,93;0;16,05;5,62;0,06;30,00;0;0;0;0;0;0;0;0;0;0
698;699;0,14;8;1;22;T;0,44;248;54,26;9,01;29,16;17,18;2,45;0;112,06;92,43;0,45;19,09;0;0;0;0;0;0;0;0;0;0
259;700;0,08;16;1;22;T;0,25;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;19,20;0;0;0;0;0;0;0;0;0;0
262;700;0,01;4;1;22;T;0,03;495;54,26;9,01;29,16;17,18;2,45;0;112,06;92,43;0,23;20,00;0;0;0;0;0;0;0;0;0;0
701;700;0,01;4;1;22;T;0,02;248;0,87;0,01;3,80;6,74;0,93;0;12,35;4,68;0,05;30,00;0;0;0;0;0;0;0;0;0;0
700;701;0,01;4;1;22;T;0,03;248;54,26;9,01;29,16;17,18;2,45;0;112,06;92,43;0,45;20,00;0;0;0;0;0;0;0;0;0;0
702;701;0,08;4;1;22;T;0,17;248;0,87;0,01;3,80;6,74;0,93;0;12,35;4,68;0,05;28,24;0;0;0;0;0;0;0;0;0;0
259;702;0,01;4;1;22;T;0,02;248;0,87;0,01;3,80;6,74;0,93;0;12,35;4,68;0,05;30,00;0;0;0;0;0;0;0;0;0;0
701;702;0,08;4;1;22;T;0,25;248;54,26;9,01;29,16;17,18;2,45;0;112,06;92,43;0,45;19,20;0;0;0;0;0;0;0;0;0;0
704;703;0,19;8;1;22;T;0,39;248;0,87;0,01;3,80;6,74;0,93;0;12,35;4,68;0,05;29,23;0;0;0;0;0;0;0;0;0;0
705;703;0,01;8;1;22;T;0,02;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
703;704;0,19;8;1;22;T;0,39;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;29,23;0;0;0;0;0;0;0;0;0;0
706;704;0,01;8;1;22;T;0,02;248;0,87;0,01;3,80;6,74;0,93;0;12,35;4,68;0,05;30,00;0;0;0;0;0;0;0;0;0;0
263;705;0,01;8;1;22;T;0,02;495;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
703;705;0,01;8;1;22;T;0,02;248;0,87;0,01;3,80;6,74;0,93;0;12,35;4,68;0,05;30,00;0;0;0;0;0;0;0;0;0;0
706;705;0,20;16;1;22;T;0,56;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;21,43;0;0;0;0;0;0;0;0;0;0
257;706;0,01;8;1;22;T;0,02;495;0,87;0,01;3,80;6,74;0,93;0;12,35;4,68;0,02;30,00;0;0;0;0;0;0;0;0;0;0
704;706;0,01;8;1;22;T;0,02;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
705;706;0,20;16;1;22;T;0,57;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;21,05;0;0;0;0;0;0;0;0;0;0
260;707;0,01;9;1;21;T;0,02;347;0,10;0,34;0,50;2,76;0,00;0;3,70;0,94;0,01;30,00;0;0;0;0;0;0;0;0;0;0
709;707;0,12;9;1;21;T;0,21;347;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;34,29;0;0;0;0;0;0;0;0;0;0
260;708;0,12;16;1;21;T;0,21;347;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;34,29;0;0;0;0;0;0;0;0;0;0
261;708;0,01;9;1;21;T;0,02;693;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
709;708;0,01;9;1;21;T;0,02;347;0,10;0,34;0,50;2,76;0,00;0;3,70;0,94;0,01;30,00;0;0;0;0;0;0;0;0;0;0
707;709;0,12;9;1;21;T;0,21;347;0,10;0,34;0,50;2,76;0,00;0;3,70;0,94;0,01;34,29;0;0;0;0;0;0;0;0;0;0
708;709;0,01;9;1;21;T;0,02;347;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
711;710;0,19;8;1;22;T;0,39;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;29,23;0;0;0;0;0;0;0;0;0;0
713;710;0,01;8;1;22;T;0,02;248;0,10;0,34;0,50;2,76;0,00;0;3,70;0,94;0,01;30,00;0;0;0;0;0;0;0;0;0;0
710;711;0,19;8;1;22;T;0,39;248;0,10;0,34;0,50;2,76;0,00;0;3,70;0,94;0,01;29,23;0;0;0;0;0;0;0;0;0;0
712;711;0,01;8;1;22;T;0,02;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
262;712;0,01;8;1;22;T;0,02;495;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
711;712;0,01;8;1;22;T;0,02;248;0,10;0,34;0,50;2,76;0,00;0;3,70;0,94;0,01;30,00;0;0;0;0;0;0;0;0;0;0
713;712;0,20;16;1;22;T;0,58;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;20,69;0;0;0;0;0;0;0;0;0;0
261;713;0,01;8;1;22;T;0,02;495;0,10;0,34;0,50;2,76;0,00;0;3,70;0,94;0,01;30,00;0;0;0;0;0;0;0;0;0;0
710;713;0,01;8;1;22;T;0,02;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
712;713;0,20;16;1;22;T;0,57;248;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;21,05;0;0;0;0;0;0;0;0;0;0
268;714;0,01;9;1;19;T;0,02;1100;218,36;11,58;24,38;63,18;4,35;0;321,85;254,32;0,29;30,00;0;0;0;0;0;0;0;0;0;0
715;714;0,08;16;1;21;T;0,14;1100;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;34,29;0;0;0;0;0;0;0;0;0;0
716;714;0,01;9;1;19;T;0,01;1100;77,78;5,30;16,96;22,02;19,28;0;141,34;100,04;0,13;60,00;0;0;0;0;0;0;0;0;0;0
269;715;0,01;9;1;19;T;0,01;1100;77,78;5,30;16,96;22,02;19,28;0;141,34;100,04;0,13;60,00;0;0;0;0;0;0;0;0;0;0
714;715;0,08;16;1;21;T;0,14;1100;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;34,29;0;0;0;0;0;0;0;0;0;0
717;715;0,01;9;1;19;T;0,02;1100;218,36;11,58;24,38;63,18;4,35;0;321,85;254,32;0,29;30,00;0;0;0;0;0;0;0;0;0;0
714;716;0,01;9;1;19;T;0,02;1100;218,36;11,58;24,38;63,18;4,35;0;321,85;254,32;0,29;30,00;0;0;0;0;0;0;0;0;0;0
717;716;0,07;9;1;19;T;0,09;1100;77,78;5,30;16,96;22,02;19,28;0;141,34;100,04;0,13;46,67;0;0;0;0;0;0;0;0;0;0
715;717;0,01;9;1;19;T;0,01;1100;77,78;5,30;16,96;22,02;19,28;0;141,34;100,04;0,13;60,00;0;0;0;0;0;0;0;0;0;0
716;717;0,07;9;1;19;T;0,12;1100;218,36;11,58;24,38;63,18;4,35;0;321,85;254,32;0,29;35,00;0;0;0;0;0;0;0;0;0;0
269;718;0,01;7;1;20;T;0,02;1100;51,85;15,28;34,20;6,83;4,38;0;112,54;101,33;0,10;30,00;0;0;0;0;0;0;0;0;0;0
