N;;;X;Y;HIERNODE;SLABEL;LLABEL;SUB_TYPE;OLD_NODE
330;4677;857;424677;564773;0;;;0;5801
331;4290;303;424290;564219;0;;;3;5802
332;4854;943;424854;564859;0;;;0;5808
333;4814;1020;424814;564936;0;;;0;5809
334;4741;903;424741;564819;0;;;0;5810
335;4330;4788;424330;568704;0;;;0;6139
336;5564;4212;425564;568128;0;;;3;6296
337;5479;2760;425479;566676;0;;;0;6310
338;4960;3200;424960;567116;0;;;0;6311
339;4973;4096;424973;568012;0;;;0;6312
340;4705;4261;424705;568177;0;;;0;6313
341;4400;4245;424400;568161;0;;;0;6314
342;4380;3791;424380;567707;0;;;0;6315
343;4400;3654;424400;567570;0;;;0;6316
344;4627;2930;424627;566846;0;;;0;6317
345;3836;2896;423836;566812;0;;;0;6318
346;3685;3340;423685;567256;0;;;3;6319
347;3357;3480;423357;567396;0;;;0;6320
348;3212;3696;423212;567612;0;;;3;6321
349;3989;4093;423989;568009;0;;;3;6323
350;4198;4171;424198;568087;0;;;0;6324
351;4267;5372;424267;569288;0;;;3;6329
352;6058;1987;426058;565903;0;;;0;6455
353;5341;2176;425341;566092;0;;;0;6456
354;4807;1950;424807;565866;0;;;0;6457
355;5900;1784;425900;565700;0;;;0;6459
356;4001;710;424001;564626;0;;;0;6488
357;3664;1033;423664;564949;0;;;0;6489
358;3392;1364;423392;565280;0;;;3;6490
359;3264;2214;423264;566130;0;;;3;6491
360;3107;1979;423107;565895;0;;;0;6493
361;3078;1704;423078;565620;0;;;3;6494
362;3827;1797;423827;565713;0;;;0;6562
595;5085;1011;425085;564927;0;;;0;9000
596;3310;1435;423310;565351;0;;;0;9001
597;3381;2376;423381;566292;0;;;0;9002
598;4419;395;424419;564311;0;;;0;9003
599;4974;386;424974;564302;0;;;0;9004
600;4817;1026;424817;564942;0;;;0;9010
601;5537;1413;425537;565329;0;;;0;9011
602;3760;3983;423760;567899;0;;;3;9028
603;4266;5400;424266;569316;0;;;3;9032
604;4780;3074;424780;566990;0;;;0;9033
605;4409;4202;424409;568118;0;;;0;9145
606;3205;2128;423205;566044;0;;;3;9169
607;3275;2255;423275;566171;0;;;3;9170
608;3243;2183;423243;566099;0;;;3;9171
609;3529;2018;423529;565934;0;;;0;9172
610;3572;2048;423572;565964;0;;;0;9173
